Date,Open,High,Low,Close,Adj Close,Volume
2018-06-01,19.057333,19.463333,18.922667,19.454666,19.454666,8136.6
2018-06-04,19.622667,19.933332,19.57,19.782667,19.782667,7196.7
2018-06-05,19.846666,19.853333,19.115999,19.408667,19.408667,8992.8
2018-06-06,20.033333,21.478001,19.832001,21.299999,21.299999,28150.95
2018-06-07,21.076668,22.0,20.905333,21.072666,21.072666,21517.95
2018-06-08,21.266666,21.632,21.143333,21.177334,21.177334,12307.8
2018-06-11,21.500668,22.310667,21.5,22.139999,22.139999,19775.25
2018-06-12,22.98,23.664667,22.533333,22.851334,22.851334,33521.1
2018-06-13,23.114,23.146667,22.653334,22.985332,22.985332,14204.7
2018-06-14,23.175333,23.916668,23.106667,23.848,23.848,16471.5
2018-06-15,23.589333,24.311333,23.416668,23.878,23.878,16272.45
2018-06-18,23.693333,24.915333,23.633333,24.722,24.722,18109.8
2018-06-19,24.344,24.666668,23.083332,23.503332,23.503332,19142.85
2018-06-20,23.869333,24.292,23.466667,24.148001,24.148001,12575.55
2018-06-21,24.133333,24.414,23.084667,23.167334,23.167334,11950.65
2018-06-22,23.436001,23.483334,22.133333,22.242001,22.242001,15399.15
2018-06-25,22.007999,22.564667,21.833332,22.200666,22.200666,10396.95
2018-06-26,22.403334,22.903334,21.719999,22.799999,22.799999,11178.75
2018-06-27,23.0,23.386,22.633333,22.966667,22.966667,12500.55
2018-06-28,23.243999,23.801332,23.073999,23.328667,23.328667,12597.0
2018-06-29,23.555332,23.590668,22.827333,22.863333,22.863333,9738.6
2018-07-02,24.004667,24.318666,21.99,22.337999,22.337999,28139.7
2018-07-03,22.116667,22.166,20.646,20.724001,20.724001,18423.9
2018-07-05,20.917334,20.959333,19.747999,20.610666,20.610666,26214.6
2018-07-06,20.33,20.804667,20.133333,20.593332,20.593332,13298.25
2018-07-09,20.799334,21.234667,20.533333,21.233999,21.233999,11395.2
2018-07-10,21.637333,21.845333,21.280001,21.497999,21.497999,14207.25
2018-07-11,21.053333,21.462667,21.004667,21.264,21.264,7326.15
2018-07-12,21.428667,21.548668,20.851334,21.114,21.114,8581.8
2018-07-13,21.038668,21.305332,20.616667,21.257999,21.257999,8804.7
2018-07-16,20.780666,21.010668,20.416668,20.673332,20.673332,11728.05
2018-07-17,20.587334,21.649332,20.566668,21.512667,21.512667,10494.3
2018-07-18,21.666668,21.700001,21.083332,21.59,21.59,8436.3
2018-07-19,21.088667,21.569332,20.934,21.348667,21.348667,8872.95
2018-07-20,21.415333,21.549334,20.780666,20.905333,20.905333,7743.3
2018-07-23,20.122667,20.366667,19.524,20.213333,20.213333,16489.35
2018-07-24,20.294666,20.514668,19.503332,19.828667,19.828667,14386.2
2018-07-25,19.782667,20.641333,19.633333,20.582666,20.582666,10613.1
2018-07-26,20.323334,20.713333,20.242666,20.443333,20.443333,6945.75
2018-07-27,20.483334,20.512667,19.689333,19.812,19.812,8554.95
2018-07-30,19.726667,19.74,19.075333,19.344667,19.344667,10221.15
2018-07-31,19.483334,19.888,19.271334,19.875999,19.875999,7615.35
2018-08-01,19.865999,20.200001,19.533333,20.056,20.056,15194.1
2018-08-02,21.896,23.332666,21.544001,23.302668,23.302668,34822.5
2018-08-03,23.187332,23.666668,22.835333,23.211332,23.211332,20484.75
2018-08-06,23.030666,23.665333,22.788,22.799334,22.799334,12846.45
2018-08-07,22.922667,25.830667,22.610001,25.304667,25.304667,46313.7
2018-08-08,24.606001,25.509333,24.474667,24.689333,24.689333,36856.8
2018-08-09,24.370001,24.467333,23.048668,23.496668,23.496668,25775.7
2018-08-10,23.6,24.0,23.066668,23.699333,23.699333,17328.0
2018-08-13,24.075333,24.212667,23.268,23.760668,23.760668,15695.85
2018-08-14,23.896667,23.946667,23.139999,23.176001,23.176001,10479.6
2018-08-15,22.794001,22.966,22.142668,22.579332,22.579332,13651.95
2018-08-16,22.660667,22.818666,22.254667,22.363333,22.363333,9096.0
2018-08-17,21.566668,21.784666,20.235332,20.366667,20.366667,28437.9
2018-08-20,19.446667,20.566668,19.213333,20.562668,20.562668,26103.45
2018-08-21,20.707333,21.652666,20.6,21.459999,21.459999,19758.3
2018-08-22,21.391333,21.591999,20.978001,21.442667,21.442667,8919.0
2018-08-23,21.275999,21.821333,21.206667,21.34,21.34,7720.95
2018-08-24,21.379999,21.59,21.293333,21.521334,21.521334,5403.9
2018-08-27,21.200001,21.496,20.587334,21.284666,21.284666,19618.95
2018-08-28,21.227333,21.258667,20.746,20.790667,20.790667,11473.65
2018-08-29,20.684668,20.790001,20.246,20.334,20.334,11171.1
2018-08-30,20.150667,20.306667,19.848,20.209999,20.209999,10825.05
2018-08-31,20.133333,20.354,19.906668,20.110666,20.110666,8062.65
2018-09-04,19.796,19.879333,19.200001,19.263332,19.263332,12525.75
2018-09-05,19.003332,19.118668,18.478666,18.716,18.716,11581.2
2018-09-06,18.986668,19.411333,18.591999,18.73,18.73,11221.2
2018-09-07,17.34,17.889999,16.816668,17.549334,17.549334,33737.85
2018-09-10,18.217333,19.068666,18.066668,19.033333,19.033333,21425.25
2018-09-11,18.631332,18.799999,18.236668,18.629333,18.629333,13755.0
2018-09-12,18.762667,19.5,18.576668,19.369333,19.369333,15023.1
2018-09-13,19.201332,19.666668,19.011999,19.297333,19.297333,9510.45
2018-09-14,19.250668,19.822001,19.101334,19.68,19.68,10148.4
2018-09-17,19.336,20.058001,19.208668,19.656,19.656,10331.4
2018-09-18,19.779333,20.176001,18.366667,18.997334,18.997334,24821.25
2018-09-19,18.700666,20.0,18.700001,19.934668,19.934668,12442.35
2018-09-20,20.237333,20.398666,19.555332,19.888666,19.888666,11024.1
2018-09-21,19.846666,20.038668,19.691334,19.940001,19.940001,7575.75
2018-09-24,19.898666,20.200001,19.572001,19.978666,19.978666,7264.5
2018-09-25,20.0,20.306667,19.766666,20.066,20.066,6722.55
2018-09-26,20.127333,20.926001,20.073999,20.638666,20.638666,11764.8
2018-09-27,20.860001,20.997334,20.460667,20.501333,20.501333,12763.65
2018-09-28,18.017332,18.533333,17.370667,17.651333,17.651333,50474.55
2018-10-01,20.384666,20.762667,20.07,20.713333,20.713333,32666.4
2018-10-02,20.93,21.122667,19.943333,20.068001,20.068001,17615.25
2018-10-03,20.222,20.306667,19.438,19.653334,19.653334,11992.5
2018-10-04,19.596666,19.6,18.511333,18.788668,18.788668,14721.3
2018-10-05,18.309999,18.325333,17.333332,17.463333,17.463333,26916.75
2018-10-08,17.634666,17.850668,16.6,16.704,16.704,20209.05
2018-10-09,17.016666,17.784666,16.886667,17.52,17.52,18090.9
2018-10-10,17.640667,17.700666,16.518,17.125334,17.125334,19222.95
2018-10-11,17.168667,17.483334,16.601999,16.815332,16.815332,12251.55
2018-10-12,17.4,17.466,16.800667,17.252001,17.252001,10802.1
2018-10-15,17.270666,17.552,16.969334,17.306,17.306,9300.0
2018-10-16,17.713333,18.492001,17.482668,18.439333,18.439333,14289.6
2018-10-17,18.826668,18.846666,17.719999,18.118668,18.118668,12983.25
2018-10-18,17.952667,18.066668,17.533333,17.594,17.594,8131.8
2018-10-19,17.826,17.977333,16.9,17.333332,17.333332,14063.25
2018-10-22,17.378668,17.457333,16.839333,17.396667,17.396667,8400.45
2018-10-23,17.591333,19.862,17.473333,19.609333,19.609333,28541.7
2018-10-24,20.07,20.296,19.048668,19.233334,19.233334,30087.45
2018-10-25,21.148001,21.4,20.067333,20.990667,20.990667,31261.05
2018-10-26,20.549999,22.66,20.443333,22.059999,22.059999,41138.25
2018-10-29,22.497999,23.143999,21.766666,22.323334,22.323334,21729.0
2018-10-30,21.892668,22.526667,21.483999,21.993334,21.993334,13690.05
2018-10-31,22.169333,22.799999,21.940001,22.488001,22.488001,11436.45
2018-11-01,22.550667,23.189333,22.315332,22.952,22.952,12000.15
2018-11-02,22.916,23.280001,22.727333,23.094,23.094,11712.0
2018-11-05,22.700001,22.930668,22.009333,22.76,22.76,11746.5
2018-11-06,22.604668,23.253332,22.406,22.737333,22.737333,10144.35
2018-11-07,22.889334,23.412001,22.719999,23.210667,23.210667,11061.75
2018-11-08,23.233334,23.838667,23.229334,23.426666,23.426666,10636.05
2018-11-09,23.266666,23.6,23.015333,23.367332,23.367332,7648.2
2018-11-12,23.224667,23.318666,22.022667,22.085333,22.085333,10412.25
